allele,gene_type,Baseline,DS3,DS1,DS2
IGHD1-CO5H*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD1-CO5H*02,IGHD,FALSE,TRUE,FALSE,FALSE
IGHD1-CO5H*03,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD1-CO5H*04,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD1-CO5H*05,IGHD,FALSE,TRUE,FALSE,FALSE
IGHD1-CO5H*06,IGHD,FALSE,TRUE,FALSE,FALSE
IGHD1-CO5H*07,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD1-RYEY*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-3SVH*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-3SVH*02,IGHD,FALSE,TRUE,FALSE,FALSE
IGHD2-3SVH*03,IGHD,FALSE,FALSE,TRUE,FALSE
IGHD2-3SVH*04,IGHD,FALSE,FALSE,FALSE,TRUE
IGHD2-3SVH*05,IGHD,FALSE,FALSE,TRUE,FALSE
IGHD2-3SVH*06,IGHD,FALSE,TRUE,TRUE,TRUE
IGHD2-3SVH*07,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-FQMB*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-FQMB*02,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-GNCP*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-GNCP*02,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-Q36F*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD2-YGYG*01,IGHD,FALSE,TRUE,FALSE,FALSE
IGHD3-52VS*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD3-52VS*02,IGHD,FALSE,FALSE,TRUE,FALSE
IGHD3-52VS*03,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD3-52VS*04,IGHD,FALSE,TRUE,TRUE,TRUE
IGHD3-CFR7*01,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD3-CFR7*02,IGHD,FALSE,FALSE,TRUE,FALSE
IGHD3-CFR7*03,IGHD,TRUE,TRUE,TRUE,TRUE
IGHD3-CFR7*04,IGHD,FALSE,TRUE,FALSE,FALSE
