locus,ancestry_population,Sample1,Sample2,jaccard_distance,overlap_coefficient
IGH,EUR,P28_I100_S1,P28_I101_S1,0.309090909090909,0.926829268292683
IGH,EUR,P28_I100_S1,P28_I107_S1,0.339130434782609,0.873563218390805
IGH,EUR,P28_I101_S1,P28_I107_S1,0.375,0.792682926829268
IGH,EUR,P28_I100_S1,P28_I109_S1,0.42741935483871,0.78021978021978
IGH,EUR,P28_I101_S1,P28_I109_S1,0.336538461538462,0.841463414634146
IGH,EUR,P28_I107_S1,P28_I109_S1,0.396396396396396,0.770114942528736
IGH,EUR,P28_I100_S1,P28_I10_S1,0.457142857142857,0.730769230769231
IGH,EUR,P28_I101_S1,P28_I10_S1,0.422764227642276,0.865853658536585
IGH,EUR,P28_I107_S1,P28_I10_S1,0.433070866141732,0.827586206896552
IGH,EUR,P28_I109_S1,P28_I10_S1,0.362903225806452,0.868131868131868
IGH,EUR,P28_I100_S1,P28_I116_S1,0.36,0.792079207920792
IGH,EUR,P28_I101_S1,P28_I116_S1,0.336363636363636,0.890243902439024
IGH,EUR,P28_I107_S1,P28_I116_S1,0.379310344827586,0.827586206896552
IGH,EUR,P28_I109_S1,P28_I116_S1,0.27027027027027,0.89010989010989
IGH,EUR,P28_I10_S1,P28_I116_S1,0.322834645669291,0.851485148514852
IGH,EUR,P28_I100_S1,P28_I117_S1,0.404761904761905,0.77319587628866
IGH,EUR,P28_I101_S1,P28_I117_S1,0.327102803738318,0.878048780487805
IGH,EUR,P28_I107_S1,P28_I117_S1,0.385964912280702,0.804597701149425
IGH,EUR,P28_I109_S1,P28_I117_S1,0.275229357798165,0.868131868131868
IGH,EUR,P28_I10_S1,P28_I117_S1,0.392307692307692,0.814432989690722
IGH,EUR,P28_I116_S1,P28_I117_S1,0.216216216216216,0.896907216494845
IGH,EUR,P28_I100_S1,P28_I118_S1,0.269565217391304,0.884210526315789
IGH,EUR,P28_I101_S1,P28_I118_S1,0.23,0.939024390243902
IGH,EUR,P28_I107_S1,P28_I118_S1,0.299065420560748,0.862068965517241
IGH,EUR,P28_I109_S1,P28_I118_S1,0.277777777777778,0.857142857142857
IGH,EUR,P28_I10_S1,P28_I118_S1,0.395348837209302,0.821052631578947
IGH,EUR,P28_I116_S1,P28_I118_S1,0.25,0.884210526315789
IGH,EUR,P28_I117_S1,P28_I118_S1,0.238532110091743,0.873684210526316
IGH,EUR,P28_I100_S1,P28_I119_S1,0.4,0.818181818181818
IGH,EUR,P28_I101_S1,P28_I119_S1,0.191489361702128,0.926829268292683
IGH,EUR,P28_I107_S1,P28_I119_S1,0.333333333333333,0.804597701149425
IGH,EUR,P28_I109_S1,P28_I119_S1,0.327102803738318,0.818181818181818
IGH,EUR,P28_I10_S1,P28_I119_S1,0.425196850393701,0.829545454545455
IGH,EUR,P28_I116_S1,P28_I119_S1,0.297297297297297,0.886363636363636
IGH,EUR,P28_I117_S1,P28_I119_S1,0.318181818181818,0.852272727272727
IGH,EUR,P28_I118_S1,P28_I119_S1,0.257142857142857,0.886363636363636
IGH,EUR,P28_I100_S1,P28_I120_S1,0.300813008130081,0.826923076923077
IGH,EUR,P28_I101_S1,P28_I120_S1,0.441666666666667,0.817073170731707
IGH,EUR,P28_I107_S1,P28_I120_S1,0.300884955752212,0.908045977011494
IGH,EUR,P28_I109_S1,P28_I120_S1,0.444444444444444,0.769230769230769
IGH,EUR,P28_I10_S1,P28_I120_S1,0.356060606060606,0.80952380952381
IGH,EUR,P28_I116_S1,P28_I120_S1,0.415384615384615,0.752475247524752
IGH,EUR,P28_I117_S1,P28_I120_S1,0.458015267175573,0.731958762886598
IGH,EUR,P28_I118_S1,P28_I120_S1,0.373983739837398,0.810526315789474
IGH,EUR,P28_I119_S1,P28_I120_S1,0.4921875,0.738636363636364
IGH,EUR,P28_I100_S1,P28_I123_S1,0.352941176470588,0.836956521739131
IGH,EUR,P28_I101_S1,P28_I123_S1,0.358490566037736,0.829268292682927
IGH,EUR,P28_I107_S1,P28_I123_S1,0.278846153846154,0.862068965517241
IGH,EUR,P28_I109_S1,P28_I123_S1,0.449152542372881,0.714285714285714
IGH,EUR,P28_I10_S1,P28_I123_S1,0.466165413533835,0.771739130434783
IGH,EUR,P28_I116_S1,P28_I123_S1,0.391666666666667,0.793478260869565
IGH,EUR,P28_I117_S1,P28_I123_S1,0.411764705882353,0.760869565217391
IGH,EUR,P28_I118_S1,P28_I123_S1,0.330357142857143,0.815217391304348
IGH,EUR,P28_I119_S1,P28_I123_S1,0.30188679245283,0.840909090909091
IGH,EUR,P28_I120_S1,P28_I123_S1,0.424,0.782608695652174
IGH,EUR,P28_I100_S1,P28_I124_S1,0.310924369747899,0.845360824742268
IGH,EUR,P28_I101_S1,P28_I124_S1,0.401785714285714,0.817073170731707
IGH,EUR,P28_I107_S1,P28_I124_S1,0.141414141414141,0.977011494252874
IGH,EUR,P28_I109_S1,P28_I124_S1,0.350877192982456,0.813186813186813
IGH,EUR,P28_I10_S1,P28_I124_S1,0.37984496124031,0.824742268041237
IGH,EUR,P28_I116_S1,P28_I124_S1,0.307692307692308,0.835051546391753
IGH,EUR,P28_I117_S1,P28_I124_S1,0.327586206896552,0.804123711340206
IGH,EUR,P28_I118_S1,P28_I124_S1,0.205607476635514,0.894736842105263
IGH,EUR,P28_I119_S1,P28_I124_S1,0.348214285714286,0.829545454545455
IGH,EUR,P28_I120_S1,P28_I124_S1,0.288135593220339,0.865979381443299
IGH,EUR,P28_I123_S1,P28_I124_S1,0.26605504587156,0.869565217391304
IGH,EUR,P28_I100_S1,P28_I125_S1,0.362903225806452,0.797979797979798
IGH,EUR,P28_I101_S1,P28_I125_S1,0.276190476190476,0.926829268292683
IGH,EUR,P28_I107_S1,P28_I125_S1,0.309090909090909,0.873563218390805
IGH,EUR,P28_I109_S1,P28_I125_S1,0.303571428571429,0.857142857142857
IGH,EUR,P28_I10_S1,P28_I125_S1,0.376923076923077,0.818181818181818
IGH,EUR,P28_I116_S1,P28_I125_S1,0.245614035087719,0.868686868686869
