chain,gene_type,allele,novel,AFR,AMR,EAS,EUR,MIXED,SAS
IGH,IGHD,IGHD1-CO5H*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD1-CO5H*02,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD1-CO5H*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD1-CO5H*04,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD1-CO5H*05,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD1-CO5H*06,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD1-CO5H*07,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD1-RYEY*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD2-3SVH*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD2-3SVH*02,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHD,IGHD2-3SVH*03,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD2-3SVH*04,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD2-3SVH*05,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHD,IGHD2-3SVH*06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD2-3SVH*07,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD2-FQMB*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD2-FQMB*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD2-GNCP*01,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
IGH,IGHD,IGHD2-GNCP*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD2-Q36F*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD2-YGYG*01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD3-52VS*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD3-52VS*02,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHD,IGHD3-52VS*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD3-52VS*04,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHD,IGHD3-CFR7*01,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
IGH,IGHD,IGHD3-CFR7*02,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHD,IGHD3-CFR7*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD3-CFR7*04,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHD,IGHD3-CFR7*05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD3-KLOQ*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD3-KLOQ*02,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
IGH,IGHD,IGHD3-LCJ3*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD4-UO7X*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD4-UO7X*02,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD4-UO7X*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD4-ZMEQ*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD4-ZMEQ*02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHD,IGHD5-GBAS*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD5-GBAS*02,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHD,IGHD5-GBAS*03,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
IGH,IGHD,IGHD5-IAIB*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD5-KDQK*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD5-VZWE*01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD6-IZU4*01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD6-MLFK*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD6-MLFK*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD6-MLFK*03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD6-MLFK*04,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD6-MLFK*05,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD6-MLFK*06,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHD,IGHD6-MLFK*07,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD6-MLFK*08,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD6-MLFK*09,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHD,IGHD6-MLFK*10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHD,IGHD7-ZOID*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ1-GJL4*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ2-INZU*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ3-U4ID*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ4-IOOB*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ4-IOOB*02,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
IGH,IGHJ,IGHJ5-32GS*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ6-DTHQ*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ6-DTHQ*02,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHJ,IGHJ6-DTHQ*03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHJ,IGHJ6-DTHQ*04,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
IGH,IGHV,IGHV1-5HTI*01,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-5HTI*02,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*03,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*04,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
IGH,IGHV,IGHV1-5HTI*05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*06,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*07,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*08,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*09,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*13,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-5HTI*16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*17,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-5HTI*21,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*22,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*23,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*24,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*25,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*27,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*30,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*31,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*32,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-5HTI*33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*34,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*35,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*36,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
IGH,IGHV,IGHV1-5HTI*37,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*38,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-5HTI*39,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*40,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*41,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*42,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*43,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*45,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*46,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*47,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*48,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*49,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*51,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*52,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*53,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*54,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*55,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*56,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*57,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*58,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*59,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*60,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*61,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*62,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*63,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*64,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-5HTI*65,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*67,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*68,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
IGH,IGHV,IGHV1-5HTI*69,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
IGH,IGHV,IGHV1-5HTI*70,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*71,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*72,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*73,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
IGH,IGHV,IGHV1-5HTI*74,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-5HTI*75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-6QKX*02,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-6QKX*03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-6QKX*04,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IGH,IGHV,IGHV1-6QKX*05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-6QKX*06,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-6QKX*07,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IGH,IGHV,IGHV1-6QKX*08,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
IGH,IGHV,IGHV1-6QKX*09,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
