position,column_label,column_subgroup,split_group
1,V3-7,V3,V3-7
2,V3-64D,V3,V3-64D
3,V3-11,V3,V3-11
4,V3-13,V3,V3-13
5,V3-15,V3,V3-15
6,V3-16,V3,V3-16
7,V3-20,V3,V3-20
8,V3-21,V3,V3-21
9,V3-23,V3,"V3-23,V3-23D"
10,V3-23D,V3,"V3-23,V3-23D"
11,V3-30,V3,"V3-30,V3-30-3,V3-30-5,V3-33"
12,V3-30-3,V3,"V3-30,V3-30-3,V3-30-5,V3-33"
13,V3-30-5,V3,"V3-30,V3-30-3,V3-30-5,V3-33"
14,V3-33,V3,"V3-30,V3-30-3,V3-30-5,V3-33"
15,V3-35,V3,V3-35
16,V3-43D,V3,V3-43D
17,V3-38-3,V3,V3-38-3
18,V3-43,V3,V3-43
19,V3-48,V3,V3-48
20,V3-49,V3,V3-49
21,V3-53,V3,V3-53
22,V3-64,V3,V3-64
23,V3-66,V3,V3-66
24,V3-72,V3,V3-72
25,V3-73,V3,V3-73
26,V3-74,V3,V3-74
27,V3-9,V3,V3-9
28,V6-1,V6,V6-1
29,V4-4,V4,V4-4
30,V4-28,V4,V4-28
31,V4-30-2,V4,"V4-30-2,V4-30-4,V4-31"
32,V4-30-4,V4,"V4-30-2,V4-30-4,V4-31"
33,V4-31,V4,"V4-30-2,V4-30-4,V4-31"
34,V4-34,V4,V4-34
35,V4-38-2,V4,V4-38-2
36,V4-39,V4,V4-39
37,V4-59,V4,V4-59
38,V4-61,V4,V4-61
39,V1-2,V1,V1-2
40,V1-3,V1,V1-3
41,V1-18,V1,V1-18
42,V1-24,V1,V1-24
43,V1-45,V1,V1-45
44,V1-46,V1,V1-46
45,V1-58,V1,V1-58
46,V1-69,V1,"V1-69,V1-69D"
47,V1-69-2,V1,V1-69-2
48,V1-69D,V1,"V1-69,V1-69D"
49,V1-8,V1,V1-8
50,V7-4-1,V7,V7-4-1
51,V7-81,V7,V7-81
52,V2-5,V2,V2-5
53,V2-26,V2,V2-26
54,V2-70D,V2,"V2-70,V2-70D"
55,V2-70,V2,"V2-70,V2-70D"
56,V5-10-1,V5,V5-10-1
57,V5-51,V5,V5-51
