locus,axis,short_label,plot_order
IGK,IGKV,V4-1,1
IGK,IGKV,V5-2,2
IGK,IGKV,V1-5,3
IGK,IGKV,V1-8*,4
IGK,IGKV,V1-9,5
IGK,IGKV,V3-11*,6
IGK,IGKV,V1-12*,7
IGK,IGKV,V1-13*,8
IGK,IGKV,V3-15*,9
IGK,IGKV,V1-16*,10
IGK,IGKV,V1-17*,11
IGK,IGKV,V3-20*,12
IGK,IGKV,V6-21*,13
IGK,IGKV,V2-24*,14
IGK,IGKV,V1-27,15
IGK,IGKV,V2-28*,16
IGK,IGKV,V2-29*,17
IGK,IGKV,V2-30*,18
IGK,IGKV,V1-33*,19
IGK,IGKV,V1-39*,20
IGK,IGKV,V2-40*,21
IGK,IGKV,V1D-43,22
IGK,IGKJ,J4,1
IGK,IGKJ,J3,2
IGK,IGKJ,J5,3
IGK,IGKJ,J2,4
IGK,IGKJ,J1,5
IGL,IGLV,V4-69,1
IGL,IGLV,V8-61,2
IGL,IGLV,V4-60,3
IGL,IGLV,V6-57,4
IGL,IGLV,V1-51,5
IGL,IGLV,V9-49,6
IGL,IGLV,V7-46,7
IGL,IGLV,V5-45,8
IGL,IGLV,V1-44*,9
IGL,IGLV,V7-43,10
IGL,IGLV,V1-40,11
IGL,IGLV,V5-37,12
IGL,IGLV,V1-36,13
IGL,IGLV,V3-27,14
IGL,IGLV,V3-21,15
IGL,IGLV,V3-19,16
IGL,IGLV,V2-18,17
IGL,IGLV,V3-16*,18
IGL,IGLV,V2-14*,19
IGL,IGLV,V2-11*,20
IGL,IGLV,V3-10,21
IGL,IGLV,V3-9,22
IGL,IGLV,V3-1,23
IGL,IGLJ,J2*,1
IGL,IGLJ,J7,2
IGL,IGLJ,J1,3
