axis,short_label,plot_order
IGHD,IGHD7-27,1
IGHD,IGHD1-26,2
IGHD,IGHD6-25,3
IGHD,IGHD5-24,4
IGHD,IGHD4-23,5
IGHD,IGHD3-22,6
IGHD,IGHD2-21,7
IGHD,IGHD1-20,8
IGHD,IGHD6-19,9
IGHD,IGHD5-18*,10
IGHD,IGHD4-17,11
IGHD,IGHD3-16,12
IGHD,IGHD2-15,13
IGHD,IGHD1-14,14
IGHD,IGHD6-13,15
IGHD,IGHD5-12,16
IGHD,IGHD4-11*,17
IGHD,IGHD3-10,18
IGHD,IGHD3-9,19
IGHD,IGHD2-8,20
IGHD,IGHD1-7,21
IGHD,IGHD6-6,22
IGHD,IGHD3-3,23
IGHD,IGHD2-2,24
IGHD,IGHD1-1,25
IGHV,V2-70*,1
IGHV,V3-43*,2
IGHV,V3-73,3
IGHV,V1-58,4
IGHV,V3-13,5
IGHV,V5-51,6
IGHV,V3-11,7
IGHV,V2-26,8
IGHV,V3-53*,9
IGHV,V1-46,10
IGHV,V6-1,11
IGHV,V3-74,12
IGHV,V3-49,13
IGHV,V4-4*,14
IGHV,V1-24,15
IGHV,V3-9,16
IGHV,V4-30-2*,17
IGHV,V2-5,18
IGHV,V3-21*,19
IGHV,V3-15,20
IGHV,V1-69*,21
IGHV,V1-8,22
IGHV,V1-2,23
IGHV,V3-7,24
IGHV,V3-30*,25
IGHV,V1-18,26
IGHV,V3-23*,27
IGHV,V4-34,28
IGHV,V4-38-2*,29
