locus,ancestry,count,source
IGH,EUR,90,In-House
IGK,EUR,90,In-House
IGL,EUR,90,In-House
IGH,EAS,16,In-House
IGK,EAS,16,In-House
IGL,EAS,16,In-House
IGH,AMR,19,In-House
IGK,AMR,19,In-House
IGL,AMR,19,In-House
IGH,AFR,35,In-House
IGK,AFR,35,In-House
IGL,AFR,35,In-House
IGH,SAS,6,In-House
IGK,SAS,6,In-House
IGL,SAS,6,In-House
IGH,MIXED,6,In-House
IGK,MIXED,6,In-House
IGL,MIXED,6,In-House
IGH,EUR,124,1KGP
IGK,EUR,124,1KGP
IGL,EUR,127,1KGP
IGH,EAS,68,1KGP
IGK,EAS,69,1KGP
IGL,EAS,70,1KGP
IGH,AMR,73,1KGP
IGK,AMR,75,1KGP
IGL,AMR,75,1KGP
IGH,AFR,124,1KGP
IGK,AFR,121,1KGP
IGL,AFR,124,1KGP
IGH,SAS,96,1KGP
IGK,SAS,99,1KGP
IGL,SAS,100,1KGP
IGH,EUR,23,HPRC
IGK,EUR,21,HPRC
IGL,EUR,26,HPRC
IGH,EAS,35,HPRC
IGK,EAS,36,HPRC
IGL,EAS,38,HPRC
IGL,AMR,43,HPRC
IGH,AMR,39,HPRC
IGK,AMR,36,HPRC
IGH,AFR,52,HPRC
IGK,AFR,56,HPRC
IGL,AFR,61,HPRC
IGH,SAS,31,HPRC
IGK,SAS,30,HPRC
IGL,SAS,35,HPRC
