gene_type,variable,value,consensus_heptamer_nonamer_label
IGHD_5,unique_allele_count,18,Consensus
IGHD_3,unique_allele_count,39,Non-Consensus
IGHD_5,unique_allele_count,26,Non-Consensus
IGHD_3,unique_allele_count,5,Consensus
IGHD_5,unique_allele_count,1,Both
IGHJ,unique_allele_count,4,Non-Consensus
IGHJ,unique_allele_count,6,Consensus
IGHV,unique_allele_count,146,Non-Consensus
IGHV,unique_allele_count,111,Consensus
IGHV,unique_allele_count,5,Both
IGKJ,unique_allele_count,6,Consensus
IGKJ,unique_allele_count,2,Non-Consensus
IGKV,unique_allele_count,127,Consensus
IGKV,unique_allele_count,27,Non-Consensus
IGKV,unique_allele_count,1,Both
IGLJ,unique_allele_count,1,Non-Consensus
IGLJ,unique_allele_count,5,Consensus
IGLJ,unique_allele_count,1,Both
IGLV,unique_allele_count,140,Non-Consensus
IGLV,unique_allele_count,20,Consensus
IGLV,unique_allele_count,3,Both
IGHD_5,unique_rss_count,8,Consensus
IGHD_3,unique_rss_count,27,Non-Consensus
IGHD_5,unique_rss_count,17,Non-Consensus
IGHD_3,unique_rss_count,1,Consensus
IGHJ,unique_rss_count,5,Non-Consensus
IGHJ,unique_rss_count,2,Consensus
IGHV,unique_rss_count,30,Non-Consensus
IGHV,unique_rss_count,14,Consensus
IGKJ,unique_rss_count,3,Consensus
IGKJ,unique_rss_count,2,Non-Consensus
IGKV,unique_rss_count,25,Consensus
IGKV,unique_rss_count,9,Non-Consensus
IGLJ,unique_rss_count,2,Non-Consensus
IGLJ,unique_rss_count,4,Consensus
IGLV,unique_rss_count,37,Non-Consensus
IGLV,unique_rss_count,6,Consensus
