figure,panel,position,column_label,column_subgroup,split_group
supp4,IGKV,1,V1D-42,V1,V1D-42
supp4,IGKV,2,V1-39,V1,"V1-39,V1D-39"
supp4,IGKV,3,V1D-39,V1,"V1-39,V1D-39"
supp4,IGKV,4,V1-33,V1,"V1-33,V1D-33"
supp4,IGKV,5,V1D-33,V1,"V1-33,V1D-33"
supp4,IGKV,6,V1D-8,V1,V1D-8
supp4,IGKV,7,V1-8,V1,V1-8
supp4,IGKV,8,V1D-43,V1,V1D-43
supp4,IGKV,9,V1-NL1,V1,V1-NL1
supp4,IGKV,10,V1-27,V1,V1-27
supp4,IGKV,11,V1-13,V1,V1-13
supp4,IGKV,12,V1D-13,V1,V1D-13
supp4,IGKV,13,V1-9,V1,V1-9
supp4,IGKV,14,V1-17,V1,"V1-17,V1D-17"
supp4,IGKV,15,V1-6,V1,V1-6
supp4,IGKV,16,V1D-17,V1,"V1-17,V1D-17"
supp4,IGKV,17,V1-16,V1,"V1-16,V1D-16"
supp4,IGKV,18,V1D-16,V1,"V1-16,V1D-16"
supp4,IGKV,19,V1D-12,V1,V1D-12
supp4,IGKV,20,V1-12,V1,V1-12
supp4,IGKV,21,V1-5,V1,V1-5
supp4,IGKV,22,V2-30,V2,"V2-30,V2D-30"
supp4,IGKV,23,V2D-30,V2,"V2-30,V2D-30"
supp4,IGKV,24,V2-24,V2,"V2-24,V2D-24"
supp4,IGKV,25,V2D-24,V2,"V2-24,V2D-24"
supp4,IGKV,26,V2D-26,V2,V2D-26
supp4,IGKV,27,V2-29,V2,V2-29
supp4,IGKV,28,V2D-29,V2,V2D-29
supp4,IGKV,29,V2-40,V2,"V2-40,V2D-40"
supp4,IGKV,30,V2D-40,V2,"V2-40,V2D-40"
supp4,IGKV,31,V2-28,V2,"V2-28,V2D-28"
supp4,IGKV,32,V2D-28,V2,"V2-28,V2D-28"
supp4,IGKV,33,V4-1,V4,V4-1
supp4,IGKV,34,V6D-41,V6,V6D-41
supp4,IGKV,35,V6-21,V6,"V6-21,V6D-21"
supp4,IGKV,36,V6D-21,V6,"V6-21,V6D-21"
supp4,IGKV,37,V3-11,V3,"V3-11,V3D-11"
supp4,IGKV,38,V3D-11,V3,"V3-11,V3D-11"
supp4,IGKV,39,V3D-15,V3,"V3-15,V3D-15"
supp4,IGKV,40,V3-15,V3,"V3-15,V3D-15"
supp4,IGKV,41,V3-7,V3,V3-7
supp4,IGKV,42,V3D-7,V3,V3D-7
supp4,IGKV,43,V3-20,V3,"V3-20,V3D-20"
supp4,IGKV,44,V3D-20,V3,"V3-20,V3D-20"
supp4,IGKV,45,V5-2,V5,V5-2
supp4,IGLV,1,V1-50,V1,V1-50
supp4,IGLV,2,V1-40,V1,V1-40
supp4,IGLV,3,V1-36,V1,V1-36
supp4,IGLV,4,V1-47,V1,V1-47
supp4,IGLV,5,V1-44,V1,V1-44
supp4,IGLV,6,V1-41,V1,V1-41
supp4,IGLV,7,V1-51,V1,V1-51
supp4,IGLV,8,V6-57,V6,V6-57
supp4,IGLV,9,V10-54,V10,V10-54
supp4,IGLV,10,V2-33,V2,V2-33
supp4,IGLV,11,V2-23,V2,V2-23
supp4,IGLV,12,V2-8,V2,V2-8
supp4,IGLV,13,V2-11,V2,V2-11
supp4,IGLV,14,V2-14,V2,V2-14
supp4,IGLV,15,V2-18,V2,V2-18
supp4,IGLV,16,V8-61,V8,V8-61
supp4,IGLV,17,V3-19,V3,V3-19
supp4,IGLV,18,V3-9,V3,V3-9
supp4,IGLV,19,V3-12,V3,V3-12
supp4,IGLV,20,V3-21,V3,V3-21
supp4,IGLV,21,V3-22,V3,V3-22
supp4,IGLV,22,V3-10,V3,V3-10
supp4,IGLV,23,V3-16,V3,V3-16
supp4,IGLV,24,V3-25,V3,V3-25
supp4,IGLV,25,V3-1,V3,V3-1
supp4,IGLV,26,V3-27,V3,V3-27
supp4,IGLV,27,V4-3,V4,V4-3
supp4,IGLV,28,V4-60,V4,V4-60
supp4,IGLV,29,V4-69,V4,V4-69
supp4,IGLV,30,V5-52,V5,V5-52
supp4,IGLV,31,V5-48,V5,V5-48
supp4,IGLV,32,V5-39,V5,V5-39
supp4,IGLV,33,V5-45,V5,V5-45
supp4,IGLV,34,V5-37,V5,V5-37
supp4,IGLV,35,V7-43,V7,V7-43
supp4,IGLV,36,V7-46,V7,V7-46
supp4,IGLV,37,V9-49,V9,V9-49
supp5,IGHD_5,1,D4-17,D4,D4-17
supp5,IGHD_5,2,D4-11*,D4,D4-11
supp5,IGHD_5,3,D4-23,D4,D4-23
supp5,IGHD_5,4,D5-24,D5,D5-24
supp5,IGHD_5,5,D5-18*,D5,"D5-18,D5-5"
supp5,IGHD_5,6,D5-12,D5,D5-12
supp5,IGHD_5,7,D7-27,D7,D7-27
supp5,IGHD_5,8,D1-14,D1,D1-14
supp5,IGHD_5,9,D1-1,D1,D1-1
supp5,IGHD_5,10,D1-20,D1,D1-20
supp5,IGHD_5,11,D1-7,D1,D1-7
supp5,IGHD_5,12,D1-26,D1,D1-26
supp5,IGHD_5,13,D2-2,D2,D2-2
supp5,IGHD_5,14,D2-15,D2,D2-15
supp5,IGHD_5,15,D2-21,D2,D2-21
supp5,IGHD_5,16,D2-8,D2,D2-8
supp5,IGHD_5,17,D3-16,D3,D3-16
supp5,IGHD_5,18,D3-22,D3,D3-22
supp5,IGHD_5,19,D3-10,D3,D3-10
supp5,IGHD_5,20,D3-3,D3,D3-3
supp5,IGHD_5,21,D3-9,D3,D3-9
supp5,IGHD_5,22,D6-19,D6,D6-19
supp5,IGHD_5,23,D6-13,D6,D6-13
supp5,IGHD_5,24,D6-25,D6,D6-25
supp5,IGHD_5,25,D6-6,D6,D6-6
supp5,IGHD_3,1,D4-17,D4,D4-17
supp5,IGHD_3,2,D4-11*,D4,D4-11
supp5,IGHD_3,3,D4-23,D4,D4-23
supp5,IGHD_3,4,D5-24,D5,D5-24
supp5,IGHD_3,5,D5-18*,D5,"D5-18,D5-5"
supp5,IGHD_3,6,D5-12,D5,D5-12
supp5,IGHD_3,7,D7-27,D7,D7-27
supp5,IGHD_3,8,D1-14,D1,D1-14
supp5,IGHD_3,9,D1-1,D1,D1-1
supp5,IGHD_3,10,D1-20,D1,D1-20
supp5,IGHD_3,11,D1-7,D1,D1-7
supp5,IGHD_3,12,D1-26,D1,D1-26
supp5,IGHD_3,13,D2-2,D2,D2-2
supp5,IGHD_3,14,D2-15,D2,D2-15
supp5,IGHD_3,15,D2-21,D2,D2-21
supp5,IGHD_3,16,D2-8,D2,D2-8
supp5,IGHD_3,17,D3-16,D3,D3-16
supp5,IGHD_3,18,D3-22,D3,D3-22
supp5,IGHD_3,19,D3-10,D3,D3-10
supp5,IGHD_3,20,D3-3,D3,D3-3
supp5,IGHD_3,21,D3-9,D3,D3-9
supp5,IGHD_3,22,D6-19,D6,D6-19
supp5,IGHD_3,23,D6-13,D6,D6-13
supp5,IGHD_3,24,D6-25,D6,D6-25
supp5,IGHD_3,25,D6-6,D6,D6-6
supp5,IGHJ,1,J2,J2,J2
supp5,IGHJ,2,J5,J5,J5
supp5,IGHJ,3,J1,J1,J1
supp5,IGHJ,4,J4,J4,J4
supp5,IGHJ,5,J3,J3,J3
supp5,IGHJ,6,J6,J6,J6
supp5,IGKJ,1,J2,J2,J2
supp5,IGKJ,2,J3,J3,J3
supp5,IGKJ,3,J5,J5,J5
supp5,IGKJ,4,J1,J1,J1
supp5,IGKJ,5,J4,J4,J4
