locus,n_samples,prop_ge_x,count_ge_x
IGK,1,1,73282
IGK,2,0.397300837859229,29115
IGK,3,0.274610409104555,20124
IGK,4,0.215973909009034,15827
IGK,5,0.182473185775497,13372
IGK,6,0.160585136868535,11768
IGK,7,0.143350345241669,10505
IGK,8,0.130386725253132,9555
IGK,9,0.120029475178079,8796
IGK,10,0.111296089080538,8156
IGK,11,0.103572500750525,7590
IGK,12,0.0972953794929178,7130
IGK,13,0.0914685734559646,6703
IGK,14,0.0864878141972108,6338
IGK,15,0.082080183401108,6015
IGK,16,0.078232035151879,5733
IGK,17,0.0750252449441882,5498
IGK,18,0.0717638710733878,5259
IGK,19,0.0691165634125707,5065
IGK,20,0.0665374853306405,4876
IGK,21,0.0642995551431457,4712
IGK,22,0.0620070412925411,4544
IGK,23,0.0600829671679266,4403
IGK,24,0.0579678502224285,4248
IGK,25,0.0562757566660299,4124
IGK,26,0.0544062662045249,3987
IGK,27,0.0529052154690102,3877
IGK,28,0.0514996861439371,3774
IGK,29,0.0501760323135285,3677
IGK,30,0.0490024835566715,3591
IGK,31,0.0476651838104856,3493
IGK,32,0.0463688218116318,3398
IGK,33,0.0452089189705521,3313
IGK,34,0.0439944324663628,3224
IGK,35,0.0429164051199477,3145
IGK,36,0.0418383777735324,3066
IGK,37,0.0409650391637783,3002
IGK,38,0.0399279495646953,2926
IGK,39,0.0390273191233864,2860
IGK,40,0.0380993968505227,2792
IGK,41,0.0371714745776589,2724
IGK,42,0.0365983461150078,2682
IGK,43,0.0356840697579215,2615
IGK,44,0.0349198984743866,2559
IGK,45,0.034196664938184,2506
IGK,46,0.0334870773177588,2454
IGK,47,0.032927594770885,2413
IGK,48,0.0323817581397887,2373
IGK,49,0.031754046014028,2327
IGK,50,0.0312355012144865,2289
IGK,51,0.030648726836058,2246
IGK,52,0.0300346606260746,2201
IGK,53,0.0294205944160912,2156
IGK,54,0.028942987363882,2121
IGK,55,0.0283971507327857,2081
IGK,56,0.0279195436805764,2046
IGK,57,0.0274282907125897,2010
IGK,58,0.0268824540814934,1970
IGK,59,0.0263775551977293,1933
IGK,60,0.0258726563139652,1896
IGK,61,0.0254223410933108,1863
IGK,62,0.0249447340411015,1828
IGK,63,0.0243716055784504,1786
IGK,64,0.0239622281051282,1756
IGK,65,0.0235528506318059,1726
IGK,66,0.0232935782320352,1707
IGK,67,0.0230070140007096,1686
IGK,68,0.0226112824431648,1657
IGK,69,0.0221609672225103,1624
IGK,70,0.0217788815807429,1596
IGK,71,0.0214786714336399,1574
IGK,72,0.0210420021287628,1542
IGK,73,0.0207008542343277,1517
IGK,74,0.0203324145083377,1490
IGK,75,0.0200185584454573,1467
IGK,76,0.0196364728036899,1439
IGK,77,0.0194317840670287,1424
IGK,78,0.0191861575830354,1406
IGK,79,0.0189132392674872,1386
IGK,80,0.0183810485521684,1347
IGK,81,0.0180535465735105,1323
IGK,82,0.0177533364264075,1301
IGK,83,0.0175077099424142,1283
IGK,84,0.0171665620479791,1258
IGK,85,0.0168527059850987,1235
IGK,86,0.0165797876695505,1215
IGK,87,0.0161840561120057,1186
IGK,88,0.0156791572282415,1149
IGK,89,0.0153516552495838,1125
IGK,90,0.0149968614393712,1099
IGK,91,0.0147102972080456,1078
IGK,92,0.0143009197347234,1048
IGK,93,0.013987063671843,1025
IGK,94,0.0136732076089626,1002
IGK,95,0.0133320597145274,977
IGK,96,0.0129363281569826,948
IGK,97,0.0124860129363281,915
IGK,98,0.012281324199667,900
IGK,99,0.0118719467263448,870
IGK,100,0.0114625692530226,840
IGK,101,0.0111350672743648,816
IGK,102,0.0106983979694877,784
IGK,103,0.0102344368330559,750
IGK,104,0.0098114134439562,719
IGK,105,0.00940203597063394,689
IGK,106,0.00899265849731179,659
IGK,107,0.00847411369777029,621
IGK,108,0.00802379847711576,588
IGK,109,0.00721868944624871,529
IGK,110,0.00634535083649468,465
IGK,111,0.00507628066919574,372
IGK,112,0.00376627275456454,276
